ANO_ELEICAO;NR_TURNO;TP_ABRANGENCIA;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;SG_PARTIDO;NM_COLIGACAO;DS_SIT_TOT_TURNO;QT_VOTOS_NOMINAIS;codeIBGE;espectro;pop2020;img;PIB;PIB_agr;PIB_ind;PIB_com;PIB_estatal;micro;meso
2020;1;M;MG;40886;URUCUIA;320;Prefeito;33;RUTILIO EUGENIO CAVALCANTI FILHO;RUTÍLIO;DEFERIDO;PMN;A UNIÃO É A NOSSA FORÇA ;ELEITO;1995;3170529;CENTRO DIREITA;17173;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pmn.png;134063;20083;5455;33908;67305;Januária;Norte de Minas
2020;1;M;MG;47716;LIMA DUARTE;162;Prefeito;13;ELENICE PEREIRA DELGADO SANTELLI;ELENICE DELGADO;DEFERIDO;PT;LIMA DUARTE PARA TODOS;ELEITO;5337;3138609;ESQUERDA;16724;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pt.png;318421;44297;39006;140677;70470;Juiz de Fora;Zona da Mata
2020;1;M;MG;53899;TUMIRITINGA;138;Prefeito;15;NILSON GUIMARAES;NILSÃO;DEFERIDO;MDB;FECHADO COM O POVO!;ELEITO;2130;3169505;DIREITA;6765;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;63791;7808;4328;19522;29892;Governador Valadares;Vale do Rio Doce
2020;1;M;MG;53015;SÃO TOMÁS DE AQUINO;260;Prefeito;22;RONEIDO TEOFILO DE CARVALHO;RONEIDO TEÓFILO;DEFERIDO;PL;UNIDOS PARA O PROGRESSO;ELEITO;2346;3165107;DIREITA;7000;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pl.png;117377;23150;7952;43874;35034;São Sebastião do Paraíso;Sul/Sudoeste de Minas
2020;1;M;MG;52930;SÃO SEBASTIÃO DO PARAÍSO;260;Prefeito;20;MARCELO DE MORAIS;MARCELO MORAIS;DEFERIDO;PSC;TRANSPARÊNCIA E EFICIÊNCIA - PARAÍSO VAI FUNCIONAR;ELEITO;18179;3164704;DIREITA;71445;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psc.png;1958705;68010;374020;953517;317570;São Sebastião do Paraíso;Sul/Sudoeste de Minas
2020;1;M;MG;41203;OLHOS D ÁGUA;44;Prefeito;11;RONE DOUGLAS DIAS;RONE;DEFERIDO;PP;AVANÇAR COM RESPONSABILIDADE E HONESTIDADE;ELEITO;2131;3145455;DIREITA;6171;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pp.png;150934;91287;4540;19818;30952;Bocaiúva;Norte de Minas
2020;1;M;MG;40967;LEME DO PRADO;336;Prefeito;19;JOSEANY CORDEIRO SANTOS;JOSY CORDEIRO;DEFERIDO;PODE;JUNTOS PODEMOS VENCER;ELEITO;1672;3138351;DIREITA;4920;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pode.png;58965;9217;3252;18345;25597;Capelinha;Jequitinhonha
2020;1;M;MG;46639;ITANHOMI;138;Prefeito;15;RAIMUNDO FRANCISCO PENAFORTE;MUNDINHO;DEFERIDO;MDB;ITANHOMI NO RUMO CERTO;ELEITO;3798;3133204;DIREITA;12244;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;126277;7699;6940;53441;52963;Governador Valadares;Vale do Rio Doce
2020;1;M;MG;45012;EXTREMA;112;Prefeito;25;JOÃO BATISTA DA SILVA;JOÃO BATISTA;DEFERIDO;DEM;EXTREMA BEM CUIDADA;ELEITO;12837;3125101;DIREITA;36951;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;10136625;5912;2377029;4794836;241184;Pouso Alegre;Sul/Sudoeste de Minas
2020;1;M;MG;44075;CRISTIANO OTONI;88;Prefeito;11;CARLOS ROBERTO DE REZENDE;CARLOS VIEIRA;DEFERIDO;PP;HONESTIDADE E TRABALHO;ELEITO;1748;3120409;DIREITA;5156;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pp.png;122556;13783;8933;60658;26057;Conselheiro Lafaiete;Metropolitana de Belo Horizonte
2020;1;M;MG;44610;DORES DE GUANHÃES;121;Prefeito;51;WELERSON ÚLTIMO DE SOUZA;LÉO;DEFERIDO;PATRIOTA;DORES MERECE MAIS;ELEITO;2033;3123106;DIREITA;5154;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/patriota.png;158759;5999;88819;30214;26110;Guanhães;Vale do Rio Doce
2020;1;M;MG;42382;SERRANÓPOLIS DE MINAS;226;Prefeito;13;MAX VINICIUS AGUIAR MARTINS;MARCÃO;DEFERIDO;PT;RENOVA SERRANÓPOLIS;ELEITO;2465;3166956;ESQUERDA;4809;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pt.png;37220;2858;1665;8135;23478;Janaúba;Norte de Minas
2020;1;M;MG;42293;CAMPOS ALTOS;327;Prefeito;43;PAULO CEZAR DE ALMEIDA;PAULO ALMEIDA;DEFERIDO;PV;TRABALHANDO COM HONESTIDADE E COMPROMISSO;ELEITO;2801;3111507;CENTRO;15563;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pv.png;292572;70297;14022;119440;69159;Araxá;Triângulo Mineiro/Alto Paranaíba
